,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,
23,95.065-1,100-4,124.232-4,75.3893-3,64.0198-2,157.297-1,105.82-1,165.272-1,135.569-3,98.7173-1,69.5296-3,167.184-3,101.886-3,182.988-1,141.421-2,147.638-2,98.4993-1,100-6,90.8423-2,186.622-1,171.656-3,147.201-2,0-0,43.4614-4,196.728-3,149.345-4,113.628-3,68.8061-4,205.463-2,173.205-2,135.767-2,141.421-6,190.235-2,195.439-4,101.974-2,141.421-4,120.059-4,100-8,200.158-4,119.469-4,
24,110.854-1,91.3466-1,100-4,67.0069-3,69.3754-1,173.205-1,141.421-5,177.592-1,141.421-3,132.341-1,100-7,168.932-3,120.471-3,179.952-1,148.259-1,141.421-2,110.205-1,124.601-5,100-6,185.834-1,157.25-3,137.251-1,43.4614-5,0-0,186.472-3,125.845-3,111.92-3,42.569-3,184.55-2,157.88-2,117.563-2,135.908-6,169.827-2,162.492-4,81.2124-2,106.253-2,78.5234-4,69.5296-6,170.525-4,82.6613-4,
25,141.421-6,113.628-6,111.92-6,122.572-6,193.986-6,164.531-5,222.073-5,128.132-5,82.6613-5,186.115-5,170.525-5,56.3873-5,146.289-5,144.597-6,191.795-6,181.007-6,181.429-6,250.152-6,234.541-6,100-6,54.9157-6,139.319-6,196.728-6,186.472-6,0-0,78.5593-6,100-8,156.181-6,195.646-6,235.423-6,224.245-6,284.982-6,141.421-6,142.776-6,173.205-6,177.623-6,179.981-6,239.459-6,100-8,141.421-8,
26,121.295-5,68.8061-5,42.569-6,78.0015-5,141.421-6,161.587-5,200.338-5,141.421-5,95.4517-5,173.205-5,152.105-5,100-7,141.421-7,130.197-1,159.28-5,137.154-6,144.009-5,207.219-5,181.208-6,113.725-1,47.9262-1,100-6,149.345-5,125.845-6,78.5593-3,0-0,89.1665-7,100-8,146.042-2,176.115-6,158.479-6,220.423-6,99.7059-2,81.6947-2,108.261-6,101.886-6,102.281-6,167.184-6,56.3873-4,70.4175-8,
27,100-6,84.385-2,101.391-2,54.9157-6,139.319-6,157.558-1,164.531-5,134.896-1,67.7276-1,128.132-5,82.6613-5,70.4175-1,56.3873-5,170-2,176.053-2,174.693-2,144.597-6,191.795-6,181.007-6,141.421-2,104.917-2,145.564-2,113.628-6,111.92-6,100-4,89.1665-2,0-0,78.5593-6,215.103-2,222.786-2,195.646-6,235.423-6,173.205-2,168.454-2,141.421-6,160.497-2,142.776-6,177.623-6,141.421-4,100-8,
28,113.725-1,84.6441-1,88.2448-2,47.9262-1,100-6,179.124-1,161.587-5,173.205-1,122.825-1,141.421-5,95.4517-5,141.421-3,100-7,182.11-1,166.734-1,157.437-2,130.197-1,159.28-5,137.154-6,176.505-1,136.05-1,141.421-2,68.8061-5,42.569-6,156.181-3,100-4,78.5593-3,0-0,193.755-2,182.885-2,146.042-2,176.115-6,167.816-2,151.284-2,99.7059-2,113.187-2,81.6947-2,101.886-6,146.289-4,56.3873-4,
29,168.454-7,135.767-7,117.563-7,173.205-7,151.284-7,166.859-5,219.271-5,176.213-7,188.407-7,217.402-7,236.082-7,213.788-7,248.833-7,100-7,120.059-5,78.5234-5,141.421-7,195.439-5,162.492-5,142.776-3,141.421-7,81.6947-7,205.463-7,184.55-7,195.646-3,146.042-7,215.103-7,193.755-7,0-0,75.3893-6,100-8,171.656-6,54.9157-3,100-8,104.917-7,98.4993-8,141.421-8,182.988-8,144.597-3,170-7,
30,160.497-7,141.421-7,135.908-3,170.74-7,113.187-7,166.673-3,185.027-7,189.809-3,203.51-3,196.106-7,218.796-7,238.04-3,243.092-7,130.204-3,100-7,69.5296-3,114.764-7,141.421-7,106.253-7,177.623-3,181.479-3,101.886-3,173.205-7,157.88-7,235.423-3,176.115-3,222.786-7,182.885-7,75.3893-3,0-0,43.6029-7,100-8,113.628-3,147.19-3,84.385-7,100-8,133.726-7,141.421-8,191.795-3,176.053-7,
31,142.776-3,121.038-3,116.548-3,141.421-7,81.6947-7,166.145-1,166.859-5,186.651-3,187.775-3,176.213-7,188.407-7,222.47-3,213.788-7,141.421-3,103.11-1,76.9953-1,100-7,120.059-5,78.5234-5,179.981-3,173.205-3,102.281-3,135.767-7,117.563-7,224.245-3,158.479-3,195.646-3,146.042-7,100-4,43.6029-2,0-0,75.3893-6,122.572-3,141.421-4,54.9157-3,76.94-4,100-8,98.4993-8,181.429-3,144.597-3,
32,177.623-3,173.205-3,178.929-3,181.479-3,101.886-3,203.284-3,166.673-3,231.51-3,234.438-3,189.809-3,203.51-3,272.457-3,238.04-3,201.83-3,141.421-3,135.569-3,130.204-3,100-7,69.5296-3,239.459-3,238.153-3,167.184-3,141.421-7,135.908-3,284.982-3,220.423-3,235.423-3,176.115-3,171.656-3,100-4,75.3893-3,0-0,196.728-3,213.184-3,113.628-3,141.421-4,147.19-3,100-8,250.152-3,191.795-3,
33,141.421-7,101.974-7,81.2124-7,140.578-7,146.289-5,145.395-5,208.292-5,142.083-5,144.576-7,195.981-5,207.721-7,164.162-7,212.533-7,75.144-5,119.469-5,82.6613-5,132.871-5,200.158-5,170.525-5,100-7,88.0571-7,56.3873-5,190.235-7,169.827-7,141.421-7,99.7059-7,173.205-7,167.816-7,54.9157-6,113.628-6,122.572-6,196.728-6,0-0,71.5763-8,100-8,95.065-8,130.887-8,186.622-8,100-8,141.421-8,
34,174.597-5,120.059-5,78.5234-5,141.421-7,168.025-5,200.467-5,245.814-5,190.78-5,166.859-5,229.368-5,219.271-5,176.213-7,217.402-7,141.421-5,174.343-5,136.054-5,173.205-5,232.761-5,196.846-5,149.974-1,100-7,109.635-5,195.439-5,162.492-5,142.776-3,81.6947-7,168.454-7,151.284-7,100-6,147.19-6,141.421-6,213.184-6,71.5763-1,0-0,114.521-5,75.3893-6,100-8,171.656-6,54.9157-3,104.917-7,
35,100-7,67.8839-3,65.9513-3,88.0571-7,56.3873-5,137.455-1,145.395-5,148.211-1,136.589-3,142.083-5,144.576-7,169.494-3,164.162-7,116.784-1,92.099-1,67.7276-1,75.144-5,119.469-5,82.6613-5,141.421-3,125.482-3,70.4175-1,101.974-7,81.2124-7,173.205-3,108.261-3,141.421-7,99.7059-7,104.917-2,84.385-2,54.9157-6,113.628-6,100-4,114.521-4,0-0,56.9808-4,71.5763-8,95.065-8,141.421-4,100-8,
36,147.937-5,100-7,69.5296-3,114.764-7,110.342-5,184.779-1,201.491-5,188.127-1,166.673-3,194.479-5,185.027-7,189.809-3,196.106-7,144.816-1,141.421-5,105.82-1,131.108-5,173.205-5,132.865-5,166.361-1,130.204-3,98.7173-1,141.421-7,106.253-7,177.623-3,101.886-3,160.497-7,113.187-7,98.4993-1,100-6,76.94-5,141.421-6,95.065-1,75.3893-3,56.9808-5,0-0,43.6029-7,100-8,113.628-3,84.385-7,
37,149.974-1,103.11-1,76.9953-1,100-7,109.635-5,199.873-1,200.467-5,200.46-1,166.145-1,190.78-5,166.859-5,186.651-3,176.213-7,173.205-1,163.135-1,135.178-1,141.421-5,174.343-5,136.054-5,185.743-1,141.421-3,125.726-1,120.059-5,78.5234-5,179.981-3,102.281-3,142.776-3,81.6947-7,141.421-2,133.726-2,100-6,147.19-6,130.887-1,100-4,71.5763-1,43.6029-2,0-0,75.3893-6,122.572-3,54.9157-3,
38,166.361-1,141.421-3,135.569-3,130.204-3,98.7173-1,218.376-1,184.779-1,230.133-1,203.284-3,188.127-1,166.673-3,231.51-3,189.809-3,211.551-1,173.205-1,157.297-1,144.816-1,141.421-5,105.82-1,231.228-1,201.83-3,165.272-1,100-7,69.5296-3,239.459-3,167.184-3,177.623-3,101.886-3,182.988-1,141.421-2,98.4993-1,100-6,186.622-1,171.656-3,95.065-1,100-4,75.3893-3,0-0,196.728-3,113.628-3,
39,173.205-5,119.469-5,82.6613-5,132.871-5,186.115-5,203.414-5,252.236-5,182.827-5,145.395-5,227.259-5,208.292-5,142.083-5,195.981-5,153.425-5,195.312-5,164.531-5,188.54-5,252.858-5,222.073-5,141.421-5,75.144-5,128.132-5,200.158-5,170.525-5,100-7,56.3873-5,141.421-7,146.289-5,144.597-6,191.795-6,181.429-6,250.152-6,100-6,54.9157-6,141.421-6,113.628-6,122.572-6,196.728-6,0-0,100-8,
40,141.421-5,92.099-1,67.7276-1,75.144-5,128.132-5,197.816-1,203.414-5,187.63-1,137.455-1,182.827-5,145.395-5,148.211-1,142.083-5,177.57-1,179.878-1,157.558-1,153.425-5,195.312-5,164.531-5,173.205-1,116.784-1,134.896-1,119.469-5,82.6613-5,141.421-3,70.4175-1,100-7,56.3873-5,170-2,176.053-2,144.597-6,191.795-6,141.421-2,104.917-2,100-6,84.385-2,54.9157-6,113.628-6,100-4,0-0,
